ID_Transacao,Data_Lancamento,Data_Prevista,Data_Liquidacao,Valor_Previsto,Valor_Realizado,Status,Tipo_Lancamento,ID_Conta,ID_Fornecedor,Descricao,Canal,Saldo,Dias_em_Aberto,Dias_Divergencia,Faixa_Aging,Faixa_Aging_Div,Criticidade,Criticidade_Div,Ordem_Aging,Ordem_Aging_Div
TRX-00590,2024-05-06,2024-05-19,2024-05-20,20633.92,20633.92,Conciliado,Pagamento,CT-005,FN-010,Ref. NF-5016,Débito,0.00,,,,,,,,
TRX-00103,2024-08-19,2024-08-20,2024-08-23,32410.99,32410.99,Conciliado,Pagamento,CT-005,FN-002,Ref. NF-1672,Pix,0.00,,,,,,,,
TRX-02213,2025-02-09,2025-02-21,2025-02-21,34848.70,34848.70,Conciliado,Pagamento,CT-008,FN-009,Ref. NF-8887,Boleto,0.00,,,,,,,,
TRX-01501,2024-04-02,2024-04-05,2024-04-07,39206.09,39206.09,Conciliado,Estorno,CT-001,FN-010,Ref. NF-3415,Boleto,0.00,,,,,,,,
TRX-00563,2024-03-21,2024-03-31,2024-04-02,15530.77,15530.77,Conciliado,Pagamento,CT-007,FN-008,Ref. NF-3598,Débito,0.00,,,,,,,,
TRX-01248,2025-04-17,2025-05-01,,5363.51,,Pendente,Pagamento,CT-008,FN-007,Ref. NF-6139,Ted,5363.51,30,,0 a 30 dias,,Normal,,1,
TRX-00680,2025-02-02,2025-02-10,2025-02-11,1074.32,1074.32,Conciliado,Pagamento,CT-008,FN-006,Ref. NF-8856,Boleto,0.00,,,,,,,,
TRX-01328,2024-10-20,2024-10-21,2024-10-21,39330.66,39330.66,Conciliado,Pagamento,CT-002,FN-006,Ref. NF-9141,Boleto,0.00,,,,,,,,
TRX-02985,2024-11-14,2024-11-20,2024-11-21,24889.24,24889.24,Conciliado,Estorno,CT-007,FN-009,Ref. NF-9948,Pix,0.00,,,,,,,,
TRX-00164,2024-10-22,2024-11-01,2024-11-01,49291.93,49291.93,Conciliado,Pagamento,CT-005,FN-003,Ref. NF-3869,Boleto,0.00,,,,,,,,
TRX-00399,2025-03-30,2025-04-03,2025-04-03,36898.92,36898.92,Conciliado,Recebimento,CT-001,FN-010,Ref. NF-1694,Boleto,0.00,,,,,,,,
